tournament_id,name,date,n_rounds,n_players,country,fide_rated,system,time_control,avg_rating,pct_rated,url
1048010,Athens of the East 4th International Open FIDE Rat,28.12.2024,9,150,IND,True,Swiss,,1717.9,1.0,https://s1.chess-results.com/tnr1048010.aspx?lan=1
1082918,COPA SANDRO MARECO - PROTEGENBOLSA DE PREMIOS: $ 2,28.12.2024,11,149,ARG,True,Swiss,,1995.9,0.953,https://s1.chess-results.com/tnr1082918.aspx?lan=1
1090975,London Christmas Congress - Major,28.12.2024,6,32,ENG,True,Swiss,,1681.5,0.97,https://s1.chess-results.com/tnr1090975.aspx?lan=1
1090879,RIZVANOĞLU MİMARLIK BURSA 4.ELO AÇIK ELO SATRANÇ T,28.12.2024,6,52,TUR,True,Swiss,,1641.1,1.0,https://s1.chess-results.com/tnr1090879.aspx?lan=1
1081512,2ND KG MARAR MEMORIAL BELOW 1700 FIDE RATING TOURN,27.12.2024,9,149,IND,True,Swiss,,1550.7,1.0,https://s1.chess-results.com/tnr1081512.aspx?lan=1
1092539,8. HSK Weihnachts Open 2024,27.12.2024,7,67,GER,True,Swiss,,1894.8,0.985,https://s1.chess-results.com/tnr1092539.aspx?lan=1
1051218,9. Frankenthaler Weihnachtsopen A-Turnier,27.12.2024,7,48,GER,True,Swiss,,1993.5,1.0,https://s1.chess-results.com/tnr1051218.aspx?lan=1
1051224,9. Frankenthaler Weihnachtsopen B-Turnier,27.12.2024,7,78,GER,True,Swiss,,1549.0,0.987,https://s1.chess-results.com/tnr1051224.aspx?lan=1
972588,9. Internationales Bad Schwartauer Schachopen,27.12.2024,7,109,GER,True,Swiss,,1776.1,0.947,https://s1.chess-results.com/tnr972588.aspx?lan=1
1054645,I Obert Festes de Nadal del Guinardó (Grup A),27.12.2024,7,46,FM,True,Swiss,,1917.3,1.0,https://s1.chess-results.com/tnr1054645.aspx?lan=1
1209676,Rilton Open 2025/2026,28.12.2025,7,63,SWE,True,Swiss,,1883.2,0.873,https://s1.chess-results.com/tnr1209676.aspx?lan=1
1275253,10. Frankenthaler Weihnachtsopen A-Turnier,27.12.2025,7,65,GER,True,Swiss,,1982.2,1.0,https://s1.chess-results.com/tnr1275253.aspx?lan=1
1322060,2nd Annual Loft Open Chess Championship - Open Sec,27.12.2025,8,57,ZAM,True,Swiss,,1950.3,0.842,https://s1.chess-results.com/tnr1322060.aspx?lan=1
1278459,3. ročník O zlaté prasátko 2025,27.12.2025,7,62,CZE,True,Swiss,,1829.4,0.984,https://s1.chess-results.com/tnr1278459.aspx?lan=1
1293523,Hegedus-Kantor emlekverseny Mezőkövesd 2025-12.27-,27.12.2025,6,32,HUN,True,Swiss,,1878.9,0.875,https://s1.chess-results.com/tnr1293523.aspx?lan=1
1266603,HSK-Weihachtsopen 2025,27.12.2025,7,79,GER,True,Swiss,,1853.6,0.975,https://s1.chess-results.com/tnr1266603.aspx?lan=1
1309599,II Obert Festes de Nadal del Guinardó (Grup A),27.12.2025,7,31,ESP,True,Swiss,,1969.7,1.0,https://s1.chess-results.com/tnr1309599.aspx?lan=1
1324528,Karlstad Open 2025,27.12.2025,8,131,SWE,True,Swiss,,1884.0,0.954,https://s1.chess-results.com/tnr1324528.aspx?lan=1
1241551,"XI. Dr. Berecz Arpad MemorialGroup ""A"" (Rating ove",27.12.2025,7,45,HUN,True,Swiss,,2158.8,1.0,https://s1.chess-results.com/tnr1241551.aspx?lan=1
1242846,"XI. Dr. Berecz Arpad MemorialGroup ""B"" (Rating lim",27.12.2025,7,53,HUN,True,Swiss,,1834.5,1.0,https://s1.chess-results.com/tnr1242846.aspx?lan=1
1314460,"""Зимові свята в Авангарді"" Турнір А (кмсУ та Перши",26.12.2025,9,47,,True,Swiss,,1894.7,0.979,https://s1.chess-results.com/tnr1314460.aspx?lan=1
1312432,10th Johor International Chess Open 2025,26.12.2025,9,80,MAS,True,Swiss,,2011.0,0.988,https://s1.chess-results.com/tnr1312432.aspx?lan=1
1292777,34. Aschacher Donau Open Gruppe A,26.12.2025,7,71,AUT,True,Swiss,,2019.0,1.0,https://s1.chess-results.com/tnr1292777.aspx?lan=1
1263715,49. Zürcher Weihnachtsopen Meisterturnier,26.12.2025,7,38,SUI,True,Swiss,,2134.6,1.0,https://s1.chess-results.com/tnr1263715.aspx?lan=1
1094232,BASEL XMAS FESTIVAL 2025- MASTER(min 2000 Elo Fide,26.12.2025,9,90,SUI,True,Swiss,Schnell,2194.5,1.0,https://s1.chess-results.com/tnr1094232.aspx?lan=1
1300791,Brazil Chess Series - Sao Paulo 2025,26.12.2025,9,47,BRA,True,Swiss,,1831.4,0.83,https://s1.chess-results.com/tnr1300791.aspx?lan=1
1313571,XLVI Metropolitano Torneo Internacional 2025 A,26.12.2025,9,41,CRC,True,Swiss,Schnell,2062.8,1.0,https://s1.chess-results.com/tnr1313571.aspx?lan=1
1287555,XVI OPEN INT. XADREZ MARQUÊS DE POMBAL,26.12.2025,7,62,POR,True,Swiss,,1832.9,0.871,https://s1.chess-results.com/tnr1287555.aspx?lan=1
1277432,Athens of the East 5th International Grandmaster O,24.12.2025,10,150,IND,True,Swiss,,2101.8,1.0,https://s1.chess-results.com/tnr1277432.aspx?lan=1
1277433,Athens of the East 5th International Grandmaster O,24.12.2025,9,150,IND,True,Swiss,,1844.7,1.0,https://s1.chess-results.com/tnr1277433.aspx?lan=1
1235671,Hong Kong International Open 2025 - Open,23.12.2025,9,129,CHN,True,Swiss,,2061.0,1.0,https://s1.chess-results.com/tnr1235671.aspx?lan=1
1307978,Рождественские встречи в Орше,23.12.2025,10,58,RUS,True,Swiss,,2212.9,1.0,https://s1.chess-results.com/tnr1307978.aspx?lan=1
1302807,20 ýaşa çenli oglanlaryň arasynda Türkmenistanyň b,22.12.2025,11,35,TKM,True,Swiss,Standard,1808.6,1.0,https://s1.chess-results.com/tnr1302807.aspx?lan=1
1290636,M.Botvinnik Cup 2025 B Group,22.12.2025,7,30,RUS,True,Swiss,,1875.8,1.0,https://s1.chess-results.com/tnr1290636.aspx?lan=1
1277319,"Međunarodni Amaterski OPEN turnir ""Alija Ikić 2025",22.12.2025,7,42,SRB,True,Swiss,,2101.6,0.976,https://s1.chess-results.com/tnr1277319.aspx?lan=1
1210514,Chessfestival Groningen 2025 Open A,21.12.2025,9,63,NED,True,Swiss,,2260.3,1.0,https://s1.chess-results.com/tnr1210514.aspx?lan=1
1210515,Chessfestival Groningen 2025 Open B,21.12.2025,9,53,NED,True,Swiss,,1894.1,1.0,https://s1.chess-results.com/tnr1210515.aspx?lan=1
1317305,2025 NATIONAL CHESS CHAMPIONSHIP - OPEN,20.12.2025,9,30,MAW,True,Swiss,,1911.0,0.967,https://s1.chess-results.com/tnr1317305.aspx?lan=1
1300604,Campeonato Alagoano Absoluto 2025 !!,19.12.2025,6,52,BRA,True,Swiss,,1829.3,1.0,https://s1.chess-results.com/tnr1300604.aspx?lan=1
1319203,SERKAN KONEZ AÇIK ELO SATRANÇ TURNUVASIA Kategoris,19.12.2025,7,38,,True,Swiss,,1884.8,1.0,https://s1.chess-results.com/tnr1319203.aspx?lan=1
1319270,109th Edward Lasker Memorial - Marshall Chess Club,18.12.2025,7,96,IM,True,Swiss,,2207.0,1.0,https://s1.chess-results.com/tnr1319270.aspx?lan=1
1316550,17th Penang Heritage City International Chess Open,18.12.2025,9,98,PCA,True,Swiss,,1965.5,0.98,https://s1.chess-results.com/tnr1316550.aspx?lan=1
1213210,3. OTVORENI MEĐUNARODNI ŠAHOVSKI TURNIR DUBROVNIK,18.12.2025,7,95,CRO,True,Swiss,,1854.8,0.874,https://s1.chess-results.com/tnr1213210.aspx?lan=1
1262787,Wellness Chess Tour GP18 Záró rendezvény 2025. Dec,18.12.2025,7,47,HUN,True,Swiss,,1861.9,0.957,https://s1.chess-results.com/tnr1262787.aspx?lan=1
1277628,IV Gran Clasico Armagedon,17.12.2025,9,43,PER,True,Swiss,,1938.7,1.0,https://s1.chess-results.com/tnr1277628.aspx?lan=1
1299458,"⛔Međunarodni amaterski turnir u šahu ,,RADNIČKI 20",17.12.2025,9,33,SRB,True,Swiss,,1851.5,1.0,https://s1.chess-results.com/tnr1299458.aspx?lan=1
1314104,PSC-NCFP Selection National Chess Championship Sem,17.12.2025,7,52,PHI,True,Swiss,,1829.0,0.846,https://s1.chess-results.com/tnr1314104.aspx?lan=1
1300653,"XXXV Torneo Internacional de Ajedrez ""Carlos Torre",16.12.2025,7,50,MEX,True,Swiss,,1948.2,1.0,https://s1.chess-results.com/tnr1300653.aspx?lan=1
1305306,Championship UKR Men`s 2025,15.12.2025,9,125,UKR,True,Swiss,,1852.3,0.904,https://s1.chess-results.com/tnr1305306.aspx?lan=1
1299610,"XXXV Torneo Internacional de Ajedrez ""Carlos Torre",15.12.2025,9,57,MEX,True,Swiss,,2173.7,1.0,https://s1.chess-results.com/tnr1299610.aspx?lan=1
1306069,Чемпіонат України з шахів (класичні) - 2025,15.12.2025,9,125,FM,True,Swiss,,2060.3,1.0,https://s1.chess-results.com/tnr1306069.aspx?lan=1
1306068,Чемпіонат України з шахів серед жінок (класичні) -,15.12.2025,9,31,,True,Swiss,,2008.4,0.968,https://s1.chess-results.com/tnr1306068.aspx?lan=1
1251766,91o Campeonato Brasileiro Absoluto 2025,14.12.2025,11,136,SC,True,Swiss,,1935.6,0.904,https://s1.chess-results.com/tnr1251766.aspx?lan=1
1313909,MEMORIJAL VOJKANA PETROVICA 2025,12.12.2025,6,61,SRB,True,Swiss,,1893.8,0.852,https://s1.chess-results.com/tnr1313909.aspx?lan=1
